"city","country","pop2024","latitude","longitude"
"Tokyo","Japan",8336599,35.6895,139.692
"Yokohama","Japan",3574443,35.4333,139.65
"Osaka","Japan",2592413,34.6937,135.502
"Nagoya","Japan",2191279,35.1815,136.906
"Sapporo","Japan",1883027,43.0667,141.35
"Kobe","Japan",1528478,34.6913,135.183
"Kyoto","Japan",1459640,35.0211,135.754
"Fukuoka","Japan",1392289,33.6,130.417
"Kawasaki","Japan",1306785,35.5206,139.717
"Saitama","Japan",1193350,35.9081,139.657
"Hiroshima","Japan",1143841,34.4,132.45
"Yono","Japan",1077730,35.8833,139.633
"Sendai","Japan",1063103,38.2667,140.867
"Kitakyushu","Japan",997536,33.8518,130.85
"Chiba","Japan",919729,35.6,140.117
"Sakai","Japan",782339,34.5833,135.467
"Shizuoka","Japan",701561,34.9833,138.383
"Kumamoto","Japan",680423,32.8059,130.692
"Okayama","Japan",639652,34.65,133.933
"Hamamatsu","Japan",605098,34.7,137.733
"Hachioji","Japan",579399,35.6558,139.324
"Honcho","Japan",560743,35.7013,139.986
"Kagoshima","Japan",555352,31.5667,130.55
"Niigata","Japan",505272,37.8864,139.006
"Himeji","Japan",481493,34.8167,134.7
"Matsudo","Japan",470277,35.7799,139.901
"Nishinomiya-hama","Japan",468925,34.7156,135.332
"Kawaguchi","Japan",468565,35.8052,139.711
"Kanazawa","Japan",458937,36.6,136.617
"Utsunomiya","Japan",449865,36.5667,139.883
"Oita","Japan",448907,33.2333,131.6
"Matsuyama","Japan",443322,33.8392,132.766
"Amagasaki","Japan",442173,34.7167,135.417
"Kurashiki","Japan",437581,34.5833,133.767
"Yokosuka","Japan",428992,35.2836,139.667
"Nagasaki","Japan",410204,32.75,129.883
"Hirakata","Japan",406331,34.8135,135.649
"Machida","Japan",399969,35.5403,139.451
"Gifu-shi","Japan",397714,35.4229,136.76
"Fujisawa","Japan",394624,35.3493,139.477
"Toyonaka","Japan",384459,34.7824,135.469
"Fukuyama","Japan",383298,34.4833,133.367
"Toyohashi","Japan",378374,34.7667,137.383
"Minato","Japan",375339,34.2152,135.15
"Nara-shi","Japan",367353,34.6851,135.805
"Toyota","Japan",362383,35.0833,137.15
"Nagano","Japan",360176,36.65,138.183
"Iwaki","Japan",357309,37.05,140.883
"Asahikawa","Japan",356612,43.7706,142.365
"Takatsuki","Japan",354468,34.8483,135.617
"Okazaki","Japan",352361,34.95,137.167
"Suita","Japan",351630,34.7614,135.516
"Wakayama","Japan",351000,34.2333,135.167
"Koriyama","Japan",340560,37.4,140.383
"Kashiwa","Japan",340221,35.8622,139.977
"Tokorozawa","Japan",339435,35.7992,139.469
"Kawagoe","Japan",337931,35.9086,139.485
"Kochi","Japan",335570,33.55,133.533
"Takamatsu","Japan",334223,34.3333,134.05
"Toyama","Japan",325532,36.7,137.217
"Akita","Japan",320069,39.7167,140.117
"Koshigaya","Japan",317437,35.8904,139.789
"Miyazaki","Japan",311203,31.9167,131.417
"Naha","Japan",300795,26.2167,127.683
"Kasugai","Japan",298589,35.2476,136.972
"Aomori","Japan",298394,40.8167,140.733
"Otsu","Japan",298164,35,135.867
"Akashi","Japan",297279,34.6552,135.007
"Yokkaichi","Japan",295841,34.9667,136.617
"Morioka","Japan",295172,39.7,141.15
"Fukushima","Japan",294237,37.75,140.467
"Ichihara","Japan",283531,35.5167,140.083
"Maebashi","Japan",282711,36.4,139.083
"Ichinomiya","Japan",280331,35.3,136.8
"Hakodate","Japan",275730,41.7758,140.737
"Ibaraki","Japan",273992,34.8164,135.568
"Yao","Japan",273213,34.6167,135.6
"Kakogawacho-honmachi","Japan",271634,34.7694,134.829
"Tokushima","Japan",267345,34.0667,134.567
"Hiratsuka","Japan",259052,35.3279,139.337
"Yamagata","Japan",254538,38.2333,140.367
"Fukui-shi","Japan",248707,36.0644,136.223
"Mito","Japan",246538,36.35,140.45
"Shimonoseki","Japan",245786,33.95,130.95
"Takasaki","Japan",240857,36.3333,139.017
"Fuji","Japan",240014,35.1667,138.683
"Hachinohe","Japan",239046,40.5,141.5
"Neyagawa","Japan",238549,34.7662,135.628
"Kurume","Japan",238197,33.3167,130.517
"Sasebo","Japan",237444,33.1683,129.725
"Chigasaki","Japan",231657,35.3364,139.404
"Soka","Japan",231445,35.8364,139.8
"Atsugi","Japan",229199,35.4427,139.369
"Minamirinkan","Japan",224015,35.4953,139.443
"Takarazuka","Japan",219789,34.7994,135.357
"Ageoshimo","Japan",219401,35.9715,139.614
"Chofu","Japan",212977,35.6592,139.548
"Matsumoto","Japan",210667,36.2333,137.967
"Kasukabe","Japan",206915,35.9831,139.75
"Kishiwada","Japan",205561,34.4667,135.367
"Numazu","Japan",204318,35.1,138.867
"Joetsu","Japan",204137,37.1483,138.236
"Odawara","Japan",203035,35.2556,139.16
"Kure","Japan",196624,34.2322,132.567
"Nagaoka","Japan",195318,37.45,138.85
"Nishi-Tokyo-shi","Japan",195164,35.7253,139.538
"Itami","Japan",193524,34.7843,135.401
"Uji","Japan",192925,34.8904,135.803
"Suzuka","Japan",191477,34.8833,136.583
"Kofu","Japan",190000,35.6667,138.567
"Izumi","Japan",189085,34.4833,135.433
"Hitachi","Japan",186307,36.6,140.65
"Kushiro","Japan",183612,42.975,144.375
"Sakura","Japan",182549,35.7167,140.233
"Kamirenjaku","Japan",178739,35.6942,139.555
"Anjo","Japan",178402,34.9583,137.081
"Tsukuba","Japan",175589,36.2,140.1
"Hirosaki","Japan",174972,40.5931,140.473
"Tomakomai","Japan",174806,42.6369,141.603
"Hadano","Japan",174281,35.3711,139.224
"Obihiro","Japan",173890,42.9172,143.204
"Ube","Japan",173733,33.9431,131.251
"Hino","Japan",171777,35.6731,139.4
"Takaoka","Japan",170077,36.75,137.017
"Kamakura","Japan",166016,35.3089,139.55
"Saga","Japan",165236,33.2333,130.3
"Tsu","Japan",163461,34.7333,136.517
"Sayama","Japan",160843,35.853,139.412
"Kawanishi","Japan",160520,34.8167,135.417
"Oyama","Japan",159936,36.3,139.8
"Ashikaga","Japan",159671,36.3333,139.45
"Matsue","Japan",156811,35.4833,133.05
"Hitachi-Naka","Japan",156811,36.3966,140.535
"Nagareyama","Japan",156000,35.8563,139.903
"Katsuta","Japan",155968,36.3833,140.533
"Kumagaya","Japan",155813,36.135,139.39
"Tottori","Japan",154098,35.5,134.233
"Ota","Japan",152104,36.3,139.367
"Komaki","Japan",151025,35.2833,136.917
"Ogaki","Japan",150570,35.35,136.617
"Higashimurayama","Japan",150556,35.7546,139.469
"Ome","Japan",149323,35.7839,139.243
"Moriguchi","Japan",148350,34.7333,135.567
"Yamaguchi","Japan",145515,34.1833,131.467
"Otaru","Japan",143792,43.1894,141.002
"Urayasu","Japan",143758,35.6706,139.889
"Yonago","Japan",141368,35.4333,133.333
"Kuwana","Japan",140051,35.0519,136.67
"Kariya","Japan",139159,34.9833,136.983
"Musashino","Japan",137479,35.7061,139.559
"Zama","Japan",134671,35.4879,139.391
"Seto","Japan",134246,35.2333,137.1
"Ebetsu","Japan",133953,43.1081,141.551
"Tondabayashicho","Japan",132873,34.5006,135.602
"Fujieda","Japan",132859,34.8667,138.267
"Sandacho","Japan",132858,34.8844,135.227
"Kakamigahara","Japan",132241,35.4167,136.867
"Omuta","Japan",131974,33.0333,130.45
"Abiko","Japan",131771,35.8667,140.017
"Kadoma","Japan",131727,34.7381,135.574
"Miyakonojo","Japan",130994,31.7333,131.067
"Matsubara","Japan",130855,34.5667,135.55
"Isesaki","Japan",130692,36.3167,139.2
"Daitocho","Japan",129521,34.7138,135.62
"Mino","Japan",129127,34.8269,135.471
"Asaka","Japan",128058,35.8047,139.602
"Kusatsu","Japan",127680,35.0167,135.967
"Ueda","Japan",126606,36.4026,138.282
"Okinawa","Japan",125483,26.3358,127.801
"Beppu","Japan",125065,33.2794,131.498
"Kashihara-shi","Japan",124521,34.509,135.793
"Niihama","Japan",123059,33.9605,133.305
"Kisarazu","Japan",122524,35.3833,139.933
"Nobeoka","Japan",121949,32.5833,131.667
"Fujinomiya","Japan",121515,35.2167,138.617
"Noda","Japan",121411,35.949,139.868
"Yaizu","Japan",121057,34.8688,138.32
"Toyokawa","Japan",120537,34.8167,137.4
"Shimotoda","Japan",118731,35.815,139.685
"Kokubunji","Japan",118682,35.7022,139.476
"Ikoma","Japan",117601,34.6833,135.7
"Ishinomaki","Japan",117233,38.4167,141.3
"Hofu","Japan",116925,34.05,131.567
"Handa","Japan",116119,34.8833,136.933
"Mishima","Japan",113479,35.1167,138.917
"Kitami","Japan",113137,43.8031,143.891
"Hikone","Japan",110925,35.25,136.25
"Kiryu","Japan",110219,36.4,139.333
"Komatsu","Japan",109045,36.4026,136.451
"Iwatsuki","Japan",108833,35.9647,139.696
"Tajimi","Japan",107818,35.3167,137.133
"Iida","Japan",107111,35.5196,137.821
"Fukayacho","Japan",106595,36.2,139.283
"Honmachi","Japan",104341,32.5044,130.6
"Iwakuni","Japan",104004,34.163,132.22
"Isehara","Japan",103401,35.3993,139.31
"Nishio","Japan",103337,34.8667,137.05
"Inazawa","Japan",102130,35.25,136.783
"Tokuyama","Japan",101133,34.05,131.817
"Narita","Japan",100641,35.7833,140.317
"Izumisano","Japan",100595,34.4167,135.317
"Sakata","Japan",100446,38.9167,139.855
"Konan","Japan",100389,35.3316,136.87
"Chikushino-shi","Japan",100353,33.4963,130.516
"Tsuruoka","Japan",99820,38.7217,139.822
"Ikeda","Japan",99476,34.8221,135.43
"Isahaya","Japan",97371,32.8411,130.043
"Mobara","Japan",97315,35.4258,140.296
"Ise","Japan",97314,34.4833,136.7
"Kameoka","Japan",97181,35,135.583
"Sakado","Japan",96656,35.9569,139.389
"Muroran","Japan",96197,42.3172,140.988
"Onojo","Japan",94957,33.5357,130.479
"Kanuma","Japan",94903,36.55,139.733
"Yonezawa","Japan",94486,37.91,140.117
"Kitakami","Japan",93854,39.2833,141.117
"Chitose","Japan",92942,42.8194,141.652
"Kaizuka","Japan",92632,34.45,135.35
"Maizuru","Japan",92465,35.45,135.333
"Kimitsu","Japan",92126,35.3504,139.87
"Ginowan","Japan",91800,26.2626,127.761
"Onomichi","Japan",90936,34.4167,133.2
"Omura","Japan",89918,32.9214,129.954
"Tsuyama","Japan",89717,35.0522,133.999
"Izumo","Japan",89286,35.3667,132.767
"Ashiya","Japan",88573,34.7281,135.303
"Iwata","Japan",88509,34.7,137.85
"Konosu","Japan",88493,36.0687,139.517
"Nabari","Japan",88128,34.6167,136.083
"Yotsukaido","Japan",86701,35.65,140.167
"Hamakita","Japan",86502,34.8,137.783
"Gyoda","Japan",86343,36.1407,139.46
"Hanno","Japan",86262,35.8519,139.318
"Kashiwazaki","Japan",86183,37.3667,138.55
"Ryugasaki","Japan",85761,35.9,140.183
"Iwamizawa","Japan",85107,43.2003,141.76
"Kakegawa","Japan",84004,34.7667,138.017
"Gotenba","Japan",83794,35.3186,138.943
"Yachimata","Japan",83322,35.65,140.317
"Katori-shi","Japan",83181,35.8977,140.499
"Kamigyo-ku","Japan",83000,35.0295,135.757
"Sanjo","Japan",82893,37.6167,138.95
"Sano","Japan",82535,36.3167,139.583
"Kanoya","Japan",82335,31.3833,130.85
"Tochigi","Japan",82133,36.3833,139.733
"Tanashicho","Japan",82112,35.7292,139.538
"Marugame","Japan",82090,34.2833,133.783
"Yashio","Japan",81345,35.8226,139.839
"Tatebayashi","Japan",81274,36.25,139.533
"Shibata","Japan",80793,37.95,139.333
"Gamagori","Japan",80786,34.8333,137.233
"Izumiotsu","Japan",80772,34.5,135.4
"Toride","Japan",80716,35.9,140.083
"Mihara","Japan",80387,34.4,133.083
"Ushiku","Japan",80020,35.9667,140.133
"Kashihara","Japan",79058,34.5833,135.617
"Karatsu","Japan",78330,33.4425,129.97
"Iizuka","Japan",78206,33.6365,130.687
"Obu","Japan",77864,35.0176,136.949
"Wako","Japan",77435,35.7894,139.623
"Hatsukaichi","Japan",77341,34.35,132.333
"Tsurusaki","Japan",76968,33.2453,131.692
"Furukawa","Japan",76312,38.5717,140.956
"Shimada","Japan",75781,34.8167,138.183
"Takefu","Japan",75753,35.9039,136.167
"Okegawa","Japan",75062,36,139.557
"Miki","Japan",74701,34.8,134.983
"Inuyama","Japan",73995,35.38,136.943
"Kukichuo","Japan",73373,36.0674,139.675
"Satsumasendai","Japan",73132,31.8167,130.3
"Hanamaki","Japan",73115,39.3833,141.117
"Yawata","Japan",71656,34.8701,135.703
"Ito","Japan",71578,34.9667,139.083
"Kazo","Japan",71291,36.1167,139.6
"Yukuhashi","Japan",71277,33.7287,130.983
"Tenri","Japan",71052,34.5833,135.833
"Dazaifu","Japan",70587,33.5128,130.524
"Maebaru-chuo","Japan",70339,33.5592,130.201
"Tanabe","Japan",69563,33.7333,135.367
"Omihachiman","Japan",69189,35.1286,136.098
"Saku","Japan",68885,36.2167,138.483
